species,isolate,type,site,dt_test,id_test,rep_isolate,condition,rep_test,time,c0_dose,c0_obs,conc_n0,detect,time_notdetect,stay_notdetect,impute,conc_nt,survival,lnS
EkM,16-062,clinical,bronch_wash,2017-11-21,7,no,test,1,0.5,0.2,0.21,7111111.11111111,1,,detect,none,787.878787878788,0.000110795454545455,-9.10782480845059
EkM,16-062,clinical,bronch_wash,2017-11-21,7,no,test,1,1,0.2,0.21,7111111.11111111,1,,detect,none,192.929292929293,2.71306818181818e-05,-10.5148453000876
EkM,16-062,clinical,bronch_wash,2017-11-21,7,no,test,2,0.25,0.2,0.21,7111111.11111111,1,,detect,none,43434.3434343434,0.00610795454545455,-5.09816333345853
EkM,16-062,clinical,bronch_wash,2017-11-21,7,no,test,2,0.5,0.2,0.21,7111111.11111111,1,,detect,none,15050.5050505051,0.00211647727272727,-6.15800223620068
EkM,16-062,clinical,bronch_wash,2017-11-21,7,no,test,2,1,0.2,0.21,7111111.11111111,1,,detect,none,3131.31313131313,0.000440340909090909,-7.72796133766099
EkM,16-062,clinical,bronch_wash,2017-11-21,7,no,test,3,0.25,0.2,0.21,7111111.11111111,1,,detect,none,105050.505050505,0.0147727272727273,-4.21497255001072
EkM,16-062,clinical,bronch_wash,2017-11-21,7,no,test,3,0.5,0.2,0.21,7111111.11111111,1,,detect,none,1051.05105105105,0.000147804054054054,-8.81962312050257
EkM,16-062,clinical,bronch_wash,2017-11-21,7,no,test,3,1,0.2,0.21,7111111.11111111,1,,detect,none,1101.0101010101,0.000154829545454545,-8.77318575291104
EkM,16-062,clinical,bronch_wash,2018-01-20,8,yes,test,1,0.25,0.2,0.21,16888888.8888889,1,,detect,none,159595.95959596,0.00944976076555024,-4.66176585361173
EkM,16-062,clinical,bronch_wash,2018-01-20,8,yes,test,1,0.5,0.2,0.21,16888888.8888889,1,,detect,none,21010.101010101,0.00124401913875598,-6.68940789993142
EkM,16-062,clinical,bronch_wash,2018-01-20,8,yes,test,1,1,0.2,0.21,16888888.8888889,1,,detect,none,19393.9393939394,0.00114832535885167,-6.76945060760496
EkM,16-062,clinical,bronch_wash,2018-01-20,8,yes,test,2,0.25,0.2,0.21,16888888.8888889,1,,detect,none,78787.8787878788,0.00466507177033493,-5.3676520599491
EkM,16-062,clinical,bronch_wash,2018-01-20,8,yes,test,2,0.5,0.2,0.21,16888888.8888889,1,,detect,none,35555.5555555556,0.00210526315789474,-6.16331480403464
EkM,16-062,clinical,bronch_wash,2018-01-20,8,yes,test,2,1,0.2,0.21,16888888.8888889,1,,detect,none,19191.9191919192,0.00113636363636364,-6.77992190747225
EkM,16-062,clinical,bronch_wash,2018-01-20,8,yes,test,3,0.25,0.2,0.21,16888888.8888889,1,,detect,none,132323.232323232,0.00783492822966507,-4.84916356343754
EkM,16-062,clinical,bronch_wash,2018-01-20,8,yes,test,3,0.5,0.2,0.21,16888888.8888889,1,,detect,none,38888.8888888889,0.00230263157894737,-6.07370264534495
EkM,16-062,clinical,bronch_wash,2018-01-20,8,yes,test,3,1,0.2,0.21,16888888.8888889,1,,detect,none,40000,0.00236842105263158,-6.04553176837826
EkM,16-148,clinical,blood,2017-12-30,9,no,test,1,0.25,0.2,0.19,8888888.88888889,1,1,detect,none,62626.2626262626,0.00704545454545455,-4.95537261542121
EkM,16-148,clinical,blood,2017-12-30,9,no,test,1,0.5,0.2,0.19,8888888.88888889,1,1,detect,none,4.44444444444444,5e-07,-14.5086577385242
EkM,16-148,clinical,blood,2017-12-30,9,no,test,2,0.25,0.2,0.19,8888888.88888889,1,1,detect,none,433333.333333333,0.04875,-3.02105008153828
EkM,16-148,clinical,blood,2017-12-30,9,no,test,2,0.5,0.2,0.19,8888888.88888889,1,1,detect,none,9.09090909090909,1.02272727272727e-06,-13.7930377021122
EkM,16-148,clinical,blood,2017-12-30,9,no,test,3,0.25,0.2,0.19,8888888.88888889,1,,detect,none,126262.626262626,0.0142045454545455,-4.254193263164
EkM,16-148,clinical,blood,2017-12-30,9,no,test,3,0.5,0.2,0.19,8888888.88888889,1,,detect,none,29.2929292929293,3.29545454545455e-06,-12.622966449462
EkM,16-148,clinical,blood,2017-12-30,9,no,test,3,1,0.2,0.19,8888888.88888889,1,,detect,none,3.33333333333333,3.75e-07,-14.796339810976
